ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006720	isoprenoid metabolic process	33/1120	248/21375	0.133064516129032	2.53951252880184	5.73424100460868	8.39249954718947e-07	3.22788444122672e-05	2.6457326507739e-05	AT5G17230/AT1G78510/AT1G17050/AT5G61670/AT5G67030/AT5G42590/AT4G32980/AT5G57030/AT2G26170/AT3G25830/AT4G19170/AT1G03055/AT5G58770/AT5G48000/AT3G25820/AT4G31390/AT5G42600/AT2G20180/AT2G29090/AT1G64680/AT3G32030/AT5G48010/AT4G32770/AT5G47990/AT4G34650/AT3G19270/AT1G64670/AT3G14530/AT2G29750/AT4G25700/AT3G28455/AT4G02780/AT1G78440	33
GO:0009642	response to light intensity	25/1120	164/21375	0.152439024390244	2.90927155923345	5.77158166967876	1.48697248437651e-06	5.57614681641191e-05	4.57048384671516e-05	AT4G04850/AT2G21970/AT3G22840/AT2G05100/AT5G64940/AT3G19480/AT1G68830/AT3G27690/AT1G07350/AT2G05070/AT5G02120/AT1G67740/AT1G55480/AT4G04020/AT1G11700/AT1G79600/AT4G14690/AT3G02730/AT4G32770/AT2G05620/AT5G57050/AT1G02340/AT3G25230/AT3G03830/AT2G47180	25
GO:0006091	generation of precursor metabolites and energy	46/1120	417/21375	0.11031175059952	2.10528006166495	5.35983271698481	1.60389582744436e-06	5.86791156382082e-05	4.80962856599489e-05	AT1G15980/AT5G49740/AT5G24120/AT5G17310/AT2G21970/AT3G01440/AT3G16250/AT2G05100/AT1G54780/AT1G10960/AT5G57030/AT1G19150/AT1G68830/AT3G27690/AT5G35220/AT5G44650/AT3G27925/AT2G05070/AT2G01290/AT5G02120/AT3G11670/AT1G67740/AT1G03310/AT1G55480/AT4G04020/AT1G16720/AT4G26530/AT4G31390/AT1G64770/AT2G21330/AT4G09650/AT1G13440/AT4G26520/AT4G10040/AT1G14150/AT2G01590/AT3G60750/AT4G38970/AT2G05620/AT1G15820/AT5G08720/AT5G57050/AT2G45290/AT3G04790/AT5G65165/AT1G79550	46
GO:0006778	porphyrin-containing compound metabolic process	19/1120	107/21375	0.177570093457944	3.3888935246996	5.82520409819616	2.68380617422413e-06	9.58502205080046e-05	7.85635491602452e-05	AT2G30390/AT3G22840/AT5G44190/AT3G59400/AT4G37000/AT1G44446/AT5G01410/AT2G40400/AT4G31390/AT2G20570/AT2G20180/AT1G19670/AT4G14690/AT1G10657/AT5G38520/AT1G03630/AT4G32770/AT2G47770/AT5G13630	19
GO:0006790	sulfur compound metabolic process	43/1120	390/21375	0.11025641025641	2.1042239010989	5.17512387883956	3.52703354666489e-06	0.000121744692449136	9.97879303723443e-05	AT3G01120/AT1G62180/AT1G19920/AT2G29450/AT2G03750/AT2G17340/AT4G03070/AT5G43850/AT3G09260/AT5G60890/AT5G17220/AT4G33790/AT1G59700/AT1G75270/AT3G56040/AT5G28020/AT3G45070/AT3G21370/AT5G61420/AT3G16410/AT4G04610/AT3G03780/AT2G36880/AT1G10360/AT5G15210/AT4G37410/AT3G23810/AT4G21990/AT1G10370/AT3G24170/AT1G13430/AT3G44550/AT1G62540/AT1G04770/AT5G26220/AT1G78320/AT3G44540/AT3G03190/AT1G04880/AT1G13420/AT3G45080/AT4G37400/AT4G35640	43
GO:0033013	tetrapyrrole metabolic process	19/1120	109/21375	0.174311926605505	3.3267119921363	5.72662523304862	3.57117764517465e-06	0.000121744692449136	9.97879303723443e-05	AT2G30390/AT3G22840/AT5G44190/AT3G59400/AT4G37000/AT1G44446/AT5G01410/AT2G40400/AT4G31390/AT2G20570/AT2G20180/AT1G19670/AT4G14690/AT1G10657/AT5G38520/AT1G03630/AT4G32770/AT2G47770/AT5G13630	19
GO:0098754	detoxification	24/1120	162/21375	0.148148148148148	2.82738095238095	5.48998736758554	3.99621235468915e-06	0.000133207078489638	0.000109183065035718	AT2G36800/AT2G29450/AT1G32780/AT5G24660/AT4G25640/AT3G49580/AT3G26590/AT3G29200/AT4G21910/AT3G44310/AT5G17220/AT1G59700/AT1G75270/AT5G38030/AT1G10360/AT3G49570/AT1G10370/AT5G17450/AT3G58810/AT2G04090/AT1G78320/AT3G03190/AT1G73700/AT1G48130	24
GO:0009636	response to toxic substance	26/1120	186/21375	0.139784946236559	2.66777073732719	5.37184386439006	4.8231458904325e-06	0.000157276496427147	0.000128911542334672	AT2G40610/AT2G36800/AT2G29450/AT1G32780/AT4G01070/AT5G24660/AT4G25640/AT3G49580/AT3G26590/AT3G29200/AT4G21910/AT3G44310/AT5G17220/AT1G59700/AT1G75270/AT5G38030/AT1G10360/AT3G49570/AT1G10370/AT5G17450/AT3G58810/AT2G04090/AT1G78320/AT3G03190/AT1G73700/AT1G48130	26
GO:0051552	flavone metabolic process	9/1120	27/21375	0.333333333333333	6.36160714285714	6.55517158692946	5.73181490388714e-06	0.000179119215746473	0.000146814908064478	AT5G17050/AT1G30530/AT5G54160/AT5G17220/AT2G47460/AT5G47990/AT1G78570/AT5G49330/AT5G63590	9
GO:0051554	flavonol metabolic process	9/1120	27/21375	0.333333333333333	6.36160714285714	6.55517158692946	5.73181490388714e-06	0.000179119215746473	0.000146814908064478	AT5G17050/AT1G30530/AT5G54160/AT5G17220/AT2G47460/AT5G47990/AT1G78570/AT5G49330/AT5G63590	9
GO:0009767	photosynthetic electron transport chain	13/1120	57/21375	0.228070175438596	4.35267857142857	5.95994027509852	5.93942969383077e-06	0.000181819276341758	0.000149028010362929	AT1G15980/AT5G49740/AT3G01440/AT3G16250/AT1G67740/AT4G04020/AT4G31390/AT1G64770/AT4G09650/AT1G14150/AT2G01590/AT2G05620/AT5G57050	13
