"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT2G44790",1129.63940601345,-1.24401261100086,0.384736456725321,-3.23341495003945,0.00122319751597956,0.010795760287542,"AT2G44790","UCC2","Encodes a uclacyanin, a protein precursor that is closely related to precursors of stellacyanins and a blue copper protein from pea pods."
"AT3G12400",339.273083198988,-1.11537098579803,0.345031687972496,-3.23266246167783,0.00122642377982582,0.0108152445866284,"AT3G12400","ATELC;ELC;Vps23A","Mutants of this gene were initially identified because of the trichome morphogenesis phenotype. Those trichomes have multiple nuclei, a defect that turns out not to be restricted to the trichomes but also in all endoreduplicating cell types. This gene encodes a ubiquitin-binding protein with sequence similarities with yeast proteins that are components of the ESCRTI-III complexes. The Arabidopsis protein is found associated with the endosome."
"AT2G26020",37.3641389711583,-4.14745334466277,1.2875271018471,-3.22125517879414,0.00127630453949125,0.0112224956091498,"AT2G26020","PDF1.2b","Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant defensin (PDF) family with the following members: At1g75830/PDF1.1, At5g44420/PDF1.2a, At2g26020/PDF1.2b, At5g44430/PDF1.2c, At2g26010/PDF1.3, At1g19610/PDF1.4, At1g55010/PDF1.5, At2g02120/PDF2.1, At2g02100/PDF2.2, At2g02130/PDF2.3, At1g61070/PDF2.4, At5g63660/PDF2.5, At2g02140/PDF2.6, At5g38330/PDF3.1 and At4g30070/PDF3.2."
"AT1G49210",6.92158072826547,-1.87434613349418,0.582104664548527,-3.2199469402086,0.0012821432539385,0.0112558621615126,"AT1G49210","ATL76",NA
"AT1G56240",22.6572371446082,-3.4893856386117,1.08379814196278,-3.21958998037436,0.00128374065423713,0.0112558621615126,"AT1G56240","AtPP2-B13;PP2-B13",NA
"AT4G36050",129.315875219861,-1.00123045355125,0.310971518927762,-3.21968538148933,0.00128331355311835,0.0112558621615126,"AT4G36050","APE2",NA
"AT3G57760",29.8040441901128,-1.45136285894489,0.451040040855993,-3.21781378032528,0.00129171652267634,0.0113205119104549,"AT3G57760","ZRK6",NA
"AT1G15670",214.040806197784,-1.56289935373788,0.486016531473745,-3.2157329072711,0.00130111866700534,0.0113816689286708,"AT1G15670","KFB01;KMD2",NA
"AT3G61198",24.213757895185,-1.8136189139337,0.563990558963918,-3.21569020102999,0.00130131228915906,0.0113816689286708,"AT3G61198",NA,NA
"AT5G57510",3.24196456353223,-4.58783730846628,1.42821018877264,-3.2122984029465,0.0013167752710255,0.011502148449291,"AT5G57510",NA,NA
"AT2G39030",4.76176812102687,-5.58226299563619,1.73831744662063,-3.21130240422334,0.00132134806363148,0.011527866118001,"AT2G39030","NATA1",NA
"AT5G18490",196.666968625077,-1.21493811340517,0.378375835085804,-3.21092945359384,0.00132306410824137,0.0115380970589345,"AT5G18490",NA,NA
