"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT5G48412",320.226304918257,-1.03681642825521,0.291523500511475,-3.55654493183612,0.000375764236613303,0.00351770265728473,"AT5G48412",NA,NA
"AT2G25090",47.6577362429863,-1.19069831395928,0.334812812082919,-3.55631048451153,0.000376099563509412,0.00351925369643787,"AT2G25090","AtCIPK16;CIPK16;SnRK3.18","Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.18), which has also been reported as a member of the CBL-interacting protein kinases (CIPK16)."
"AT3G03870",394.251265285378,-1.33640918107369,0.376363223238889,-3.55084954787263,0.000383989856193584,0.0035801660974094,"AT3G03870",NA,NA
"AT3G01290",1760.41010207598,-1.84367623646596,0.519731075577886,-3.54736578800102,0.000389103945319392,0.00361751836989275,"AT3G01290","AtHIR2;HIR2",NA
"AT3G50830",658.579419367086,-1.25452433482394,0.353696513065343,-3.54689483351557,0.000389800160491653,0.0036196975512083,"AT3G50830","ATCOR413-PM2;COR413-PM2","cold acclimation protein WCOR413-like protein beta form. Transcript is not detectable."
"AT3G04070",50.561675919976,-1.57287977844006,0.443520085103475,-3.546355241326,0.000390599274111735,0.00362387385574595,"AT3G04070","ANAC047;NAC047;SHG;SHYG",NA
"AT4G21680",26.0300482914563,-1.87656334730224,0.529312267202268,-3.54528595609733,0.000392187365694958,0.00363698118075186,"AT4G21680","AtNPF7.2;NPF7.2;NRT1.8","Encodes a nitrate transporter (NRT1.8).  Functions in nitrate removal from the xylem sap. Mediates cadmium tolerance."
"AT3G50500",1108.08670135069,-1.28128902472111,0.361551790790908,-3.54386026388706,0.000394314175466335,0.0036534379499996,"AT3G50500","SNRK2-2;SNRK2.2;SPK-2-2;SRK2D","encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Enzyme involved in the ABA signaling during seed germination, dormancy and seedling growth."
"AT3G28290",36.9044139399517,-1.99786659573909,0.564180024268558,-3.54118634088341,0.000398332151802404,0.00367588989730465,"AT3G28290","AT14A","Encodes a protein with sequence similarity to integrins. Localized to the cytoplasm and plasma membrane. Expressed in all tissues assayed."
"AT3G28300",36.9044139399517,-1.99786659573909,0.564180024268558,-3.54118634088341,0.000398332151802404,0.00367588989730465,"AT3G28300","AT14A","Possesses a transmembrane domain and a small region that has sequence similarities to integrins from fungi, insects and humans. Is localized to plasma membrane and cytoplasm."
"AT5G27690",85.4154716741208,-1.05728547381492,0.2987971141248,-3.53847284272403,0.000402448676677418,0.00370728143768785,"AT5G27690","AtHMP49",NA
"AT3G16570",712.620963953453,-1.34614522783707,0.380501528962955,-3.53781818303317,0.000403447764656126,0.00371483527642758,"AT3G16570","ATRALF23;RALF23","Encodes RALF23, a member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide.  RALF23 is significantly downregulated by brassinolide treatment of seedlings.   Overexpression of AtRALF23 impairs brassinolide-induced hypocotyls elongation, and mature overexpressing plants are shorter and bushier. RALF23 overexpression produces slower growing seedlings with roots that have reduced capacity to acidify the rhizosphere."
"AT3G63080",302.795084324426,-1.09150741409706,0.30857885209158,-3.53720744859445,0.000404381906108891,0.00372013420941416,"AT3G63080","ATGPX5;GPX5;GPXL5;MEE42","Encodes glutathione peroxidase."
"AT3G20210",25.2107548461915,-3.12424793319991,0.884697865634232,-3.53142926479219,0.00041332039191079,0.00379245559073745,"AT3G20210","AEP4;DELTA-VPE;DELTAVPE","Encodes a vacuolar processing enzyme with caspase-1-like activity that is specifically expressed in inner integument of developing seeds.  Mutants display abnormal seed coat development.  It is speculated to be involved in cell death of limited cell layers, the purpose of which is to form a seed coat."
"AT5G28830",152.786287119416,-1.51109454080539,0.427900389966748,-3.53141660123941,0.000413340182726313,0.00379245559073745,"AT5G28830",NA,NA
"AT2G22680",82.2916591578721,-1.06255293645203,0.300947860170301,-3.53068779372864,0.000414480667876317,0.00379955875169872,"AT2G22680","WAVH1",NA
"AT3G02620",29.5288842211617,-2.16636617046989,0.613614745661742,-3.53049887700077,0.000414776776280669,0.00380059373849049,"AT3G02620","AAD4",NA
"AT3G46640",292.559408107959,-1.55128437284817,0.439470133767988,-3.52989715034229,0.000415721241042946,0.00380734544248569,"AT3G46640","LUX;PCL1","Encodes a myb family transcription factor with a single Myb DNA-binding domain (type SHAQKYF) that is unique to plants and is essential for circadian rhythms, specifically for transcriptional regulation within the circadian clock.   LUX is required for normal rhythmic expression of multiple clock outputs in both constant light and darkness.  It is coregulated with TOC1 and seems to be repressed by CCA1 and LHY by direct binding of these proteins to the evening element in the LUX promoter."
"AT3G50700",185.118239817085,-1.5931445612126,0.451583141794563,-3.52790973303729,0.000418854964874717,0.00383288321408293,"AT3G50700","AtIDD2;IDD2","zinc finger protein, similar to maize Indeterminate1 (ID1)"
"AT5G02020",152.198336184969,-2.07146311905118,0.587267677795569,-3.52728950932025,0.000419837429966359,0.0038401796669542,"AT5G02020","SIS","Encodes a protein involved in salt tolerance, names SIS (Salt Induced Serine rich)."
"AT4G04330",294.218613232634,-2.45409847922239,0.695834260481534,-3.52684341458567,0.000420545396232965,0.00384496000213877,"AT4G04330","AtRbcX1;RbcX1",NA
"AT1G14370",150.134116297315,-1.08586222586304,0.307956213231815,-3.52602798452278,0.000421842391493601,0.00385342158147721,"AT1G14370","APK2A;Kin1;PBL2","Encodes protein kinase APK2a."
"AT4G00335",112.498003175527,-1.06199569905509,0.301273237713522,-3.52502501421958,0.000423442804551439,0.00386633845969172,"AT4G00335","RHB1A",NA
"AT3G16150",136.543707899503,-2.57183223999694,0.730561031371348,-3.52035234505913,0.000430973873588631,0.00391614235987567,"AT3G16150","ASPGB1",NA
"AT2G01300",22.7592724629901,-2.68479430241757,0.7628378721481,-3.51948218676843,0.00043239007095089,0.00392443123791742,"AT2G01300",NA,NA
"AT5G45310",22.9378783303261,-2.72952127373721,0.775561424821192,-3.5194134034793,0.000432502202010493,0.00392443123791742,"AT5G45310",NA,NA
"AT5G63610",211.755392675159,-1.06973510338449,0.304040959842632,-3.51839141653207,0.000434171454735183,0.00393485663105346,"AT5G63610","ATCDK8;CDK8;CDKE1;CDKE;1;HEN3","significant sequence similarity to plant and animal cyclin-dependent protein kinases, and was classified as an E-type CDK with a SPTAIRE cyclin binding motif in the kinase domain."
"AT2G31585",100.83042457256,-1.01250525196768,0.287840678380033,-3.51758916656972,0.000435486013855594,0.00394096088970757,"AT2G31585",NA,NA
