"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT5G06790",81.0007380491088,2.86043419064315,0.560601934814115,5.10243367531654,3.35313277398982e-07,1.22553828667253e-05,"AT5G06790",NA,NA
"AT5G19875",73.4972964107889,1.93733116293147,0.379665256675006,5.10273491943413,3.34779778502655e-07,1.22553828667253e-05,"AT5G19875",NA,NA
"AT1G33260",60.5216621710886,1.9328686759625,0.37903056537366,5.09950608879528,3.40540915876525e-07,1.24250624547045e-05,"AT1G33260",NA,NA
"AT1G65800",655.421728594734,2.05165914888519,0.402415556143735,5.09835943855107,3.42609796648805e-07,1.24791064010933e-05,"AT1G65800","ARK2;AtARK2;RK2","encodes a putative receptor-like serine/threonine protein kinases that is similar to brassica self-incompatibility (S) locus. expressed in specifically in cotyledons, leaves, and sepals, in correlation with the maturation of these structures."
"AT5G38420",30809.0663174384,1.70360680329368,0.334236349913756,5.09701234989331,3.45055826082064e-07,1.2546678881597e-05,"AT5G38420","DEG24;RBCS2B",NA
"AT4G10150",27.0310162677195,2.46590112466429,0.483864514381157,5.09626362623032,3.46422629980118e-07,1.25748453805604e-05,"AT4G10150","ATL07",NA
"AT2G17340",612.991700559031,1.18669897686798,0.232900492524704,5.09530471148365,3.4818077433303e-07,1.2617096830993e-05,"AT2G17340",NA,NA
"AT3G46540",317.574574311626,1.44020802925512,0.282759930543311,5.09339504535816,3.51707786420395e-07,1.27231939431637e-05,"AT3G46540",NA,NA
"AT4G19170",2767.3178827469,2.51846848951579,0.495791730799915,5.07969038824521,3.78050485191769e-07,1.35377774924911e-05,"AT4G19170","CCD4;NCED4","chloroplast-targeted member of a family of  enzymes similar to nine-cis-epoxycarotenoid dioxygenase"
"AT4G25290",391.784342496374,1.95124029481666,0.384328698095478,5.07700909270095,3.83422530311404e-07,1.36839956826263e-05,"AT4G25290",NA,NA
"AT4G31870",212.575141600978,1.48664506472351,0.292966468475011,5.07445467210632,3.88608849802137e-07,1.38309542980782e-05,"AT4G31870","ATGPX7;GPX7;GPXL7","Encodes glutathione peroxidase."
"AT2G23000",210.651993877124,3.25834969740894,0.642624924624356,5.07037553719784,3.97031493750049e-07,1.40986016217095e-05,"AT2G23000","scpl10",NA
"AT3G10760",272.570267973936,1.00007817572146,0.19735490307365,5.06740982942919,4.0326542684642e-07,1.42722355651396e-05,"AT3G10760",NA,NA
"AT4G03070",59.5811943597187,1.92835791239147,0.381042559162014,5.06074155241949,4.17628995855123e-07,1.4682701534741e-05,"AT4G03070","AOP;AOP1;AOP1.1","Encodes a possible 2-oxoglutarate-dependent dioxygenase that is involved in glucosinolate biosynthesis. The gene is expressed in all ecotypes examined but the enzymatic activity has not been determined experimentally.  In Col, there is one copy of this gene (aka AOP1.1) but Ler contains two copies, AOP1.1 and a tightly linked AOP1.2."
"AT1G13090",423.981310544214,1.10234287644271,0.217843331395281,5.06025531918849,4.18695440514177e-07,1.46958639327579e-05,"AT1G13090","CYP71B28","putative cytochrome P450"
"AT1G03055",66.9129587479085,2.53114272129382,0.500329048411622,5.05895615961007,4.21557763115113e-07,1.47719127058571e-05,"AT1G03055","AtD27;D27",NA
"AT3G56160",547.095212191532,1.1458353095533,0.226587892479534,5.05691322256681,4.26097006351397e-07,1.49063755022602e-05,"AT3G56160",NA,NA
"AT3G11090",156.326353988183,2.07963834650877,0.411486853308382,5.05396060600317,4.3274090326904e-07,1.51139030936152e-05,"AT3G11090","LBD21",NA
"AT1G35180",72.4408069874443,1.77190634410283,0.350877992727041,5.04992157054788,4.41991493969842e-07,1.54116410089484e-05,"AT1G35180",NA,NA
"AT4G23770",33.7707275816902,2.33726440050804,0.462903285190434,5.0491419596353,4.43798866208607e-07,1.5449293317934e-05,"AT4G23770",NA,NA
"AT2G31750",787.013756480914,1.4538966229851,0.288040465188592,5.04754296252499,4.4752815535586e-07,1.55536176415412e-05,"AT2G31750","UGT74D1",NA
"AT5G63180",532.730859174102,1.51376025505373,0.299924121762896,5.04714407816263,4.48463161048495e-07,1.55580672398084e-05,"AT5G63180",NA,NA
"AT1G24148",191.991790250626,2.535078700663,0.503475125296492,5.03516176528108,4.77445466696447e-07,1.64586923462647e-05,"AT1G24148",NA,NA
"AT2G37860",362.899004281131,1.11874760881523,0.222508577733849,5.02788530765501,4.95918323483988e-07,1.70126423250121e-05,"AT2G37860","LCD1;RE","Encodes a protein of unknown function.  Mutants have pale leaves, lower cell density in the palisade parenchyma and increased sensitivity to ozone and virulent Pseudomonas syringae"
"AT1G75280",1123.12781457299,1.62874372770221,0.324343667872423,5.02166032217054,5.1226718963121e-07,1.74887359675542e-05,"AT1G75280",NA,"isoflavone reductase, putative, identical to SP:P52577 Isoflavone reductase homolog P3 (EC 1.3.1.-) {Arabidopsis thaliana}; contains Pfam profile PF02716: isoflavone reductase. Involved in response to oxidative stress."
"AT4G25640",1000.50370504066,1.29796523583771,0.258584951706062,5.01949253919897,5.18081574925328e-07,1.76305484672105e-05,"AT4G25640","ATDTX35;DTX35;FFT","Encodes a multidrug and toxin efflux family transporter. Involved in flavonoid metabolism, affecting Root growth, seed development and germination, and pollen development, release and viability."
"AT4G20240",69.7551950193676,1.97971743093292,0.395101057229336,5.01066093018273,5.42434149694607e-07,1.83588420567187e-05,"AT4G20240","CYP71A27","putative cytochrome P450"
"AT2G48130",135.206376222018,1.55062244376026,0.309560454789184,5.00911023927866,5.46822465060957e-07,1.84606916463743e-05,"AT2G48130","LTPG15",NA
"AT1G25440",2388.66819827174,1.37540115438621,0.274692552415065,5.0070565885163,5.52686821609657e-07,1.85701023051916e-05,"AT1G25440","BBX15;COL16",NA
"AT1G48100",46.4690536320724,3.79251816249495,0.757865708890692,5.00420868500062,5.60919664645329e-07,1.88169495714748e-05,"AT1G48100","PGX3",NA
"AT3G27925",1657.29679591732,1.16001402980731,0.231874777829298,5.00276071708538,5.65150725962185e-07,1.89269047559462e-05,"AT3G27925","DEG1;DEGP1","Encodes a DegP protease; nuclear gene encoding chloroplast-targeted protease that can degrade two lumenal proteins, plastocyanin and OE33, suggesting a role as a general-purpose protease in the thylakoid lumen.  Involved in the degradation of D1 protein of PS II, hence participating in the repair of PS II damages caused by photoinhibition."
"AT4G27700",1351.44745549405,1.30449788623971,0.260922827230965,4.99955446629047,5.74629387702899e-07,1.91859356098601e-05,"AT4G27700",NA,NA
"AT1G68780",182.986845964845,1.34322492304148,0.268826383389352,4.99662609787831,5.83420312812939e-07,1.94183861169009e-05,"AT1G68780",NA,NA
"AT2G36430",167.160170087626,1.15193466010362,0.230540957808802,4.99665947019694,5.83319403075999e-07,1.94183861169009e-05,"AT2G36430",NA,NA
"AT3G46550",261.708126267126,1.48709377685746,0.29779434440699,4.99369381852693,5.92352813058736e-07,1.96848387876405e-05,"AT3G46550","FLA4;SOS5","Isolated in a screen for salt hypersensitive mutants. Mutants have thinner cell walls, abnormal siliques and root growth is inhibited under salt stress. The gene has similarity to arabinogalactan proteins and domains associated with cell adhesion."
"AT2G33180",294.803456477421,1.54616955535279,0.309706325319942,4.99237319016819,5.96418719924116e-07,1.97889867462322e-05,"AT2G33180",NA,NA
"AT4G34550",17.6059741293728,6.97553753955575,1.39791957153695,4.98994196918387,6.03974340214533e-07,1.9977250957096e-05,"AT4G34550",NA,NA
"AT3G52370",198.043144964041,2.09720112506662,0.420436781072196,4.98814856235543,6.09606838799407e-07,2.01321947463537e-05,"AT3G52370","FLA15",NA
"AT1G47580",183.140964568929,1.55371384683838,0.312108383854371,4.9781227522659,6.42039348379354e-07,2.10899932145692e-05,"AT1G47580","DYW1",NA
"AT5G58770",890.658218983156,2.37566522209763,0.477258715500726,4.97773041107305,6.43341762298805e-07,2.10899932145692e-05,"AT5G58770","AtcPT4;AtCPT7;cPT4;CPT7",NA
"AT5G42070",425.184946686155,1.50411122762555,0.303314572821819,4.95891514091257,7.0887921070855e-07,2.30875000604234e-05,"AT5G42070",NA,NA
