"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT1G17180",138.920208388776,1.89068015980371,0.650069215663938,2.90842900147593,0.00363249648205121,0.0204772118261283,"AT1G17180","ATGSTU25;GSTU25","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"AT5G48070",25.6570645393959,2.28764134837854,0.78668170766068,2.90796306320785,0.00363791303587291,0.0204910415229931,"AT5G48070","ATXTH20;XTH20","putative xyloglucan endotransglycosylase/hydrolase, expressed primarily in the stele of mature non-elongating regions of both the main and the lateral root.  Is expressed in lateral root primordia but expression ceases after lateral root begins to grow."
"AT3G10940",302.710979783542,1.08558342048359,0.373350313951875,2.90768048108168,0.00364120164317698,0.0205039978522547,"AT3G10940","LSF2",NA
"AT1G66820",164.143243238978,1.0679344143639,0.367420645591942,2.90657160172199,0.00365413258871136,0.020532930425824,"AT1G66820",NA,NA
"AT1G62190",3.34430233203455,4.81157596426909,1.65566775773717,2.90612409511745,0.00365936290157812,0.0205560474934303,"AT1G62190",NA,NA
"AT2G19780",75.1770192246381,1.32865307240043,0.457455266978592,2.90444370916513,0.00367906353968233,0.0206387704517874,"AT2G19780",NA,NA
"AT1G04250",611.016581436882,1.30895788439749,0.450888187800721,2.90306537144418,0.00369529493781117,0.0207091189719318,"AT1G04250","AtIAA17;AXR3;IAA17","Transcription regulator acting as repressor of auxin-inducible gene expression. Auxin-inducible AUX/IAA gene. Short-lived nuclear protein with four conserved domains. Domain III has homology to beta alpha alpha dimerization and DNA binding domains. Involved in auxin signaling. Auxin induces the degradation of the protein in a dosage-dependent manner in a process mediated by AtRac1. Auxin induced the relocalization of the protein within the nucleus from a diffused nucleoplasmic pattern to a discrete particulated pattern named nuclear protein bodies or NPB in a process also mediated by Rac1. Colocalizes with SCF, CSN and 26S proteasome components."
"AT4G37910",902.937766889705,1.07441319539085,0.370109094030787,2.9029635118922,0.00369649702233069,0.0207091189719318,"AT4G37910","HSP70-9;mtHsc70-1",NA
"AT2G40205",98.4543981174744,1.31794310793205,0.454624727933936,2.89896925299578,0.00374391606699051,0.0209177319713757,"AT2G40205","eL41y",NA
"AT5G40850",926.730826399731,1.12276871532049,0.387399135411577,2.89822204721147,0.00375284789498301,0.0209619896557411,"AT5G40850","AtUPM1;UPM1","Encodes a urophorphyrin III methylase that  catalyzes S-adenosyl-L-methionine-dependent transmethylation in a multistep process involving the formation of a covalently linked complex with S-adenosyl-L-methionine."
"AT1G04040",1046.56106783558,1.03670500656114,0.357938019395284,2.89632548202786,0.00377560578394819,0.0210381257018548,"AT1G04040",NA,NA
"AT2G25880",95.0644227446835,1.14479541308284,0.395709507292164,2.89301973287593,0.00381557324518684,0.0212323141017706,"AT2G25880","AtAUR2;AUR2","Encodes a member of a family of Ser/Thr kinases whose activities peak during cell division.  Transcripts are abundant in tissues rich in dividing cells like roots and flowers but are low or absent in fully expanded leaves and stems.  In interphase cells, the protein is predominantly nuclear.  During mitosis, the protein associates with plant-specific cytoskeletal structures (preprophase band, phragmoplast, nascent cell plate) that are necessary for cytokinesis as well as with the microtubule spindle."
"AT1G05213",27.0532666399944,1.14675797694416,0.396630888711334,2.89124727695821,0.00383716071174213,0.0213352717676469,"AT1G05213",NA,NA
"AT2G39700",404.186320912841,1.34072866245022,0.463831122829966,2.89055347185427,0.00384564102507337,0.0213490516280415,"AT2G39700","ATEXP4;ATEXPA4;ATHEXP;EXPA4;XPA4","putative expansin. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana."
"AT1G79410",104.723790823132,1.38249780196744,0.478331519112884,2.89025026937682,0.00384935238368971,0.0213572653649754,"AT1G79410","AtOCT5;OCT5",NA
"AT2G23430",135.627310630421,1.07058981177197,0.370628848389033,2.88857658119537,0.00386989783350261,0.0214368572913249,"AT2G23430","ICK1;KRP1","Encodes a cyclin-dependent kinase inhibitor protein that functions as a negative regulator of cell division and promoter of endoreduplication.  A member of seven KRP genes found in Arabidopsis thaliana. Differential expression patterns for distinct KRPs were revealed by in situ hybridization. Both SKP2b and RKP appear to be involved in the degradation of KRP1."
"AT5G58140",2178.25841146186,1.05130913571108,0.363975049016288,2.8884099021415,0.00387194935596583,0.0214424958327579,"AT5G58140","AtPHOT2;NPL1;PHOT2","Membrane-bound protein serine/threonine kinase that functions as blue light photoreceptor in redundancy with PHO1. Involved in stomatal opening, chloroplast movement and phototropism. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT2 possesses two LOV (LOV1 and LOV2, for light-oxygen-voltage-sensing) domains involved in FMN-binding and a C-terminus forming a serine/threonine kinase domain. LOV2 acts as an inhibitor of phototropin kinase in the dark, and light cancels the inhibition through cysteine-FMN adduct formation. LOV1 in contrast acts as an attenuator of photoactivation.  Localized to the Golgi apparatus under the induction of blue light."
"AT2G42980",10.7626847335351,1.9404344776508,0.67248848958888,2.88545381473677,0.00390849804765275,0.0216160469204362,"AT2G42980",NA,NA
"AT2G18230",208.764292319464,1.53872015370121,0.533631335935934,2.88348912457034,0.00393296227227306,0.02173396439486,"AT2G18230","AtPPa2;PPa2","Encodes a protein that might have inorganic pyrophosphatase activity."
"AT5G17160",129.758044911016,1.64892845348158,0.571905077994731,2.88322051495541,0.00393631777042868,0.0217467142869622,"AT5G17160",NA,NA
"AT1G61580",266.477076537072,1.07755886520787,0.373763608468673,2.88299567104106,0.00393912854184835,0.0217557166568868,"AT1G61580","ARP2;RPL3B;uL3y",NA
